# 大连海事大学2013年高招新疆地区各专业录取计划明细

新疆地区

专业名称| 计划类型| 层次| 科类| 计划数  
---|---|---|---|---  
国际经济与贸易| 定向| 本科| 文史| 1  
法学| 定向| 本科| 文史| 4  
英语| 定向| 本科| 文史| 1  
机械设计制造及其自动化| 定向| 本科| 理工| 1  
测控技术与仪器| 定向| 本科| 理工| 1  
材料科学与工程| 定向| 本科| 理工| 1  
能源与动力工程| 定向| 本科| 理工| 1  
电气工程及其自动化| 定向| 本科| 理工| 1  
电子信息工程| 定向| 本科| 理工| 1  
自动化| 定向| 本科| 理工| 3  
轮机工程| 定向| 本科| 理工| 1  
环境工程| 定向| 本科| 理工| 3  
工商管理| 定向| 本科| 理工| 1  
财务管理| 定向| 本科| 理工| 2  
旅游管理| 定向| 本科| 文史| 1

