# 武汉理工大学华夏学院

江西地区

专业名称| 计划类型| 层次| 科类| 计划数  
---|---|---|---|---  
英语| 非定向 | 本科| 文史| 2  
机械设计制造及其自动化| 非定向 | 本科| 理工| 3  
材料成型及控制工程| 非定向 | 本科| 理工| 3  
车辆工程| 非定向 | 本科| 理工| 3  
汽车服务工程| 非定向 | 本科| 理工| 3  
自动化| 非定向 | 本科| 理工| 3  
土木工程| 非定向 | 本科| 理工| 3  
会计学| 非定向 | 本科| 文史| 5  
物流管理| 非定向 | 本科| 文史| 5  
视觉传达设计| 非定向 | 本科| 艺术(不分文理)| 5  
环境设计| 非定向 | 本科| 艺术(不分文理)| 5  
产品设计| 非定向 | 本科| 艺术(不分文理)| 3  
数字媒体艺术| 非定向 | 本科| 艺术(不分文理)| 2

