# 上海师范大学

重庆地区

专业名称| 计划类型| 层次| 科类| 计划数  
---|---|---|---|---  
经济学类(中外合作办学)| 非定向 | 本科| 文史| 3  
金融学类| 非定向 | 本科| 理工| 3  
英语| 非定向 | 本科| 文史| 3  
广播电视学| 非定向 | 本科| 文史| 2  
广告学| 非定向 | 本科| 文史| 5  
应用心理学| 非定向 | 本科| 理工| 2  
电子信息类| 非定向 | 本科| 理工| 13  
计算机类(中外合作办学)| 非定向 | 本科| 理工| 2  
土木工程| 非定向 | 本科| 理工| 3  
土木类(中外合作办学)| 非定向 | 本科| 理工| 2  
植物生产类(中外合作办学)| 非定向 | 本科| 文史| 2  
人力资源管理| 非定向 | 本科| 文史| 2  
公共管理类| 非定向 | 本科| 文史| 5  
旅游管理类| 非定向 | 本科| 理工| 3  
旅游管理类| 非定向 | 本科| 文史| 3  
表演| 非定向 | 本科| 艺术(不分文理)| 2

